artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Enya,A Day Without Rain,Flora's Secret,4UW5yJcnRrOtHdKOnBds7M,0.568,0.253,11,-12.721,1,0.0316,0.429,0.106,0.597,142.093,247507,3
Gypsy Cafe Ensemble,Gypsy Cafe: Italian Restaurant Music,Luce Del Sole,6DbGhZ5LdsVssVOrglkGvH,0.63,0.194,0,-11.876,1,0.0342,0.159,0.109,0.339,140.009,258000,4
Giorgia Fumanti,From My Heart,Your Love (Once Upon A Time In The West),2JHFXV1wTyCbfbibtC26Yw,0.19,0.248,2,-11.446,1,0.0367,0.14,0.112,0.0478,87.414,231920,3
Karl Jenkins,Adiemus - Songs Of Sanctuary,Adiemus,54CAG8n70kKVbFV6l1zF4G,0.295,0.408,4,-16.632,0,0.0693,0.148,0.165,0.164,150.454,237413,3
Moya Brennan,Canvas,Where We Once Met,0plZ5tmcydLerGSbrza3dC,0.462,0.24,9,-15.198,0,0.0333,4.24e-05,0.655,0.0792,86.06,205726,3
Celtic Woman,Celtic Woman,You Raise Me Up,03wrmep5c3Dr9JlOXPvFUX,0.262,0.209,2,-10.685,1,0.0385,1.98e-06,0.0805,0.141,121.487,271133,4
Secret Garden,Songs From A Secret Garden,Nocturne,6bk11TH82XrT5QUC1gDw9A,0.219,0.298,2,-11.52,0,0.0313,0.254,0.094,0.154,79.136,193680,3
Kevin Kern,When I Remember,We Should Waltz,3gkN0sXMHvWhhTt5iRDsBn,0.444,0.00904,4,-23.021,1,0.0392,0.944,0.0982,0.192,80.958,367160,4
2002,Believe,We Meet Again,6DsM0lDjO8ASvIxwecvTKP,0.223,0.168,2,-18.284,0,0.0366,0.84,0.174,0.0407,78.034,341760,4
Lindsey Stirling,Shatter Me (Deluxe),Take Flight - Orchestral Version,6ThDhlD6wamJYefnWiQhjL,0.442,0.696,7,-7.221,0,0.04,0.0142,0.328,0.416,139.819,264973,4
Chloe Agnew,Across the Raging Sea,Across the Raging Sea,2mSJTwCbGnTs2TxDa5FRdK,0.485,0.684,5,-6.392,1,0.0354,0.0,0.0835,0.258,131.885,292600,4
Henry Arland,Die schönsten Liebeslieder,Can´ t Help Falling In Love,2k4iXKV42ry3ke5jYREKDo,0.467,0.471,10,-7.892,1,0.0266,0.232,0.145,0.145,66.888,178600,4
Enya,Amarantine,If I Could Be Where You Are,0KXpgyL7L8xIpotzpWoUOo,0.28,0.149,5,-15.929,1,0.0431,0.00656,0.0943,0.0606,111.902,241255,4
Bernward Koch,Day of Life,Golden October,2nhmQi2ciQ77dYcaQTDXjo,0.103,0.181,3,-14.226,1,0.0385,0.929,0.159,0.0514,72.945,289533,4
Karl Jenkins,Karl Jenkins: Piano,Hymn,4f6gLxR8DHTkZgpMXOnSnf,0.497,0.0102,5,-29.95,1,0.0505,0.889,0.13,0.315,133.437,152920,4
Pop Strings Orchestra,Los 20 Temas Instrumentales Mas Bellos del Mundo,Et Maintenant,0JfVRQfePt44ADwBHpZrqs,0.568,0.494,5,-8.032,0,0.0294,0.656,0.135,0.633,110.395,200453,4
Three Graces,Three Graces,Requiem,45qbLZUdeCW7XxD3ZTtumX,0.363,0.419,10,-6.967,1,0.0315,0.0,0.12,0.0745,121.9,244707,4
Enya,Dark Sky Island (Deluxe),Remember Your Smile,1N0yXx5LP2RqhzALoYUwZv,0.186,0.223,0,-12.872,1,0.0325,0.000279,0.0962,0.122,88.521,177867,1
David Davidson,Silver Screen Classics,Moon River - Silver Screen Classics Album Version,5YjKSgCe4hrM6DsaHOlLyX,0.257,0.179,7,-15.122,1,0.0382,0.806,0.121,0.147,84.351,191893,3
Celtic Woman,A New Journey,Scarborough Fair,1U1NkDoPpCSEX1T6ZMWX04,0.247,0.233,10,-13.611,1,0.0366,2.49e-05,0.379,0.102,123.097,192973,3
Gary Freeman,Golden Trumpet Hits,Dolannes Melodie,0QmPQgg1MioqzNH4lOfNTL,0.265,0.443,0,-11.33,1,0.0302,0.808,0.0946,0.393,171.314,202200,3
Secret Garden,You Raise Me Up - The Collection,You Raise Me Up,7b8vy3OJ8OgednlieYvcbQ,0.191,0.205,0,-12.55,1,0.0369,0.00595,0.103,0.0713,168.867,297587,3
Petruta Küpper,Panträume,Once Upon A Time In The West,1hJ8lJj2lYB1pGLPJVm4IC,0.133,0.423,0,-7.595,1,0.0388,0.229,0.0974,0.0485,70.952,209747,5
George Davidson,My Heart Will Go On,Dolannes Melodies,3twzDeXwkzTFi2iZrslirv,0.285,0.132,4,-19.066,1,0.0371,0.873,0.109,0.122,162.844,215507,3
Christine Brown,Seamless,Happy Together,1xNDuneWN46CxTU408XCJB,0.441,0.154,2,-20.584,0,0.0454,0.887,0.124,0.0869,99.771,244933,3
Ernesto Cortazar,Colors,Anna,5Du03K8DVAAzxP3KDwGXtd,0.231,0.259,10,-11.366,1,0.0308,0.0499,0.291,0.133,109.166,226533,4
Celtic Woman,A New Journey,The Last Rose Of Summer,7Gy3PeLK5vXJAnTti847mF,0.283,0.105,4,-15.547,1,0.0402,0.000133,0.102,0.111,78.65,216200,1
Enya,Dark Sky Island (Deluxe),Pale Grass Blue,6NPRY1ZAXAncs4tO7ZjpKC,0.495,0.27,8,-15.998,1,0.0289,0.169,0.109,0.38,92.718,214467,3
Méav,The Calling,The Calling,6chm9oj3s47jQnHCYmOdc9,0.395,0.284,11,-14.14,0,0.0308,0.0949,0.172,0.388,139.983,237480,3
Bernward Koch,Gentle Spirit,Under Trees,2qT90tvGNB79FeVdzRTT3Q,0.258,0.159,10,-14.334,1,0.0299,0.959,0.113,0.0869,61.355,228213,4
Kevin Kern,In the Enchanted Garden,The Enchanted Garden,2PD9RuhXRUH9vsizEVhJWH,0.43,0.0996,1,-17.514,1,0.0283,0.904,0.108,0.14,84.119,414107,4
George Skaroulis,Sanctuary 2,The Windmills of Your Mind,1KT9l65yYWP1IoOid5sVYe,0.301,0.133,7,-19.529,0,0.0348,0.935,0.155,0.078,62.9,210267,5
Chloe Agnew,Walking in the Air,Winter's Light,1ralQWikBNSDQkDrD7KC1B,0.232,0.165,2,-14.991,1,0.0372,0.028,0.0962,0.116,82.613,216240,4
Enya,Dark Sky Island,The Humming,15Zt4Z0N6JMwyNp1vLQNfi,0.569,0.282,8,-13.773,0,0.0274,0.854,0.0997,0.215,88.623,225120,4
Secret Garden,Once In A Red Moon,Greenwaves,5triiOrWzbdEYc2iQhBWWM,0.32,0.222,3,-14.854,1,0.0361,0.0673,0.15,0.137,82.022,285360,3
2002,Celtic Fairy Lullaby,Cariad,6t4yEy7ObXdsBBJ0EffsS8,0.231,0.172,11,-15.666,0,0.0358,0.876,0.0663,0.0399,106.553,274693,4
Libera,The Moon Represents My Heart - 月亮代表我的心,The Moon Represents My Heart - 月亮代表我的心,5zEvD1Tapbd4RAkYmpeTap,0.19,0.221,3,-14.667,1,0.0416,0.269,0.0903,0.0622,79.487,198974,4
Anúna,Revelation,"Fill, Fill a Rún",7xrq6kyFHRX8s6cdwcd8Sv,0.236,0.0713,5,-19.016,0,0.0395,9.77e-05,0.152,0.121,84.76,324333,4
Orchester Anthony Ventura,Je T'Aime - Traummelodien 4,Dolannes Melodie,7DN2slpB6fEUsq9Fd3uz4p,0.414,0.252,2,-16.838,1,0.0294,0.65,0.118,0.385,53.476,226827,4
Enya,The Celts,The Celts - 2009 Remaster,2DRvmzWcZM9ZIyqPK8YLkb,0.312,0.394,0,-10.063,1,0.0301,0.988,0.172,0.231,107.505,177667,4
Celtic Woman,"Decade. The Songs, The Show, The Traditions, The Classics.",Téir Abhaile Riu,0AmA8MQue1LBuYZSAdBMsj,0.515,0.595,5,-6.76,0,0.0504,0.0,0.0746,0.704,124.334,244413,4
Loreena McKennitt,The Book of Secrets,Dante's Prayer,4y7vAUvjCeqSbGdWzCMsRm,0.184,0.184,0,-18.453,1,0.0324,0.297,0.0736,0.0618,93.383,431173,3
Enigma,Voyageur,Following The Sun,1YVUTtffdIvWmfH7XyJVCb,0.647,0.716,10,-8.063,1,0.0367,0.0279,0.266,0.643,116.979,347933,4
Maria Saldo,Fantastico Piano,A Comme Amour,3czLxLsaRG262GLqn7UUp9,0.533,0.333,10,-12.005,0,0.0315,0.902,0.112,0.0834,139.332,188871,4
Captain Cook Und Seine Singenden Saxophone,Captain Cook Und Seine Singenden Saxophone,Sail Along Silv'ry Moon.,7gjp5sGeGpnZJgqdyassQ6,0.369,0.337,5,-11.823,1,0.0301,0.00604,0.131,0.824,93.914,129733,4
Alfred Hause,Bilitis - Famous Melodies,Sonate Nr. 15 C-Dur KV 545,6cXPPnjuygnmJrvOoE611b,0.446,0.462,0,-11.639,1,0.0308,0.817,0.162,0.573,125.394,207627,4
Miriam Stockley,Miriam,Perfect Day,1H3mKSbxD87iKRj3aIg9nE,0.17,0.174,2,-16.938,0,0.0358,0.0309,0.0635,0.0394,170.163,200973,3
Robin Spielberg,"Another Time, Another Place",O Mio Babbino Caro,55q0tCWKY9RiqHEs8IuZna,0.388,0.0231,8,-21.288,1,0.0366,0.918,0.0982,0.109,100.742,267129,3
Brad Jacobsen,The Arrow & the Song,By the Banks (Loch Lomond),4o122cNKCEWi8oxA6gt343,0.328,0.132,5,-19.083,1,0.0537,0.941,0.137,0.2,116.353,213880,4
Enya,The Celts,The Sun in the Stream - 2009 Remaster,5KtmZFoj8N6g3tLLk6hYFK,0.0829,0.243,4,-13.029,0,0.0355,0.00951,0.104,0.048,84.055,175867,3
Taylor Swift,folklore,seven,6KJqZcs9XDgVck7Lg9QOTC,0.596,0.488,4,-10.769,1,0.0274,2.7e-05,0.091,0.415,94.926,208907,4
Shura,forevher,"skyline, be mine",6MzGZAaGBIf1Y0cgrjvRwr,0.604,0.571,5,-8.777,0,0.0282,0.00797,0.11,0.905,137.955,316598,4
Elina,Free,Free,3hOWsTM9OpI6c72iQHP4EB,0.627,0.213,10,-12.634,1,0.0349,0.0,0.204,0.18,92.054,199463,4
MØ,Kamikaze,Kamikaze,6TjP1C3sGQH1jBfzUXfcMg,0.663,0.878,1,-3.195,0,0.0646,3.39e-06,0.328,0.704,158.035,214240,4
Joji,Daylight,Daylight,6Ed1q0X8oSKSm4IIhiQbYg,0.528,0.749,7,-7.571,1,0.0479,9.6e-05,0.0949,0.729,163.944,163906,4
LÉON,LÉON,Come Home To Me,2K8elWg8ihrZRwZJ7Gy6L3,0.66,0.193,11,-8.904,1,0.0725,0.0,0.0953,0.296,82.035,225868,4
renforshort,mind games,mind games,36KJMSaMTtDHkF3m90avQc,0.712,0.482,9,-6.588,0,0.031,2.1e-05,0.133,0.525,107.158,221916,4
Christina Perri,lovestrong.,Jar of Hearts,0HZhYMZOcUzZKSFwPOti6m,0.349,0.348,3,-6.142,1,0.0316,0.0,0.12,0.0886,74.541,246587,4
Taylor Swift,folklore,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,0.298,0.38,6,-8.426,1,0.0287,5.62e-05,0.11,0.152,75.602,285634,4
Lauv,~how i'm feeling~,Julia,4Gyo5XZzmZawnpqaRRedKu,0.458,0.13,11,-14.575,1,0.0807,0.0,0.152,0.333,162.487,218000,3
Askjell,To Be Loved,To Be Loved,1YSvsbCHSwyGKX7wNtV4ld,0.356,0.324,6,-12.875,0,0.0472,0.0135,0.0999,0.186,122.09,228594,4
Hailee Steinfeld,Half Written Story,Wrong Direction,5Qsp8mtshe70DX7EYbWZGo,0.39,0.388,10,-9.017,1,0.0355,0.0,0.157,0.187,72.934,248987,4
MARINA,About Love (From The Netflix Film “To All The Boys: P.S. I Still Love You”),About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,4XII12nbsvJblXfG1I2QR4,0.636,0.758,0,-5.567,1,0.0427,1.01e-05,0.16,0.281,97.025,214107,4
Rhys Lewis,Things I Chose To Remember,Things You Can't Change,1hdSvBsFEw1I5ZOLOoxf3Y,0.756,0.374,1,-7.555,1,0.0368,0.0,0.109,0.551,84.975,199307,4
Purity Ring,Womb,stardew,59VEyFtuiZnWCfCDc4hOU0,0.485,0.55,10,-9.176,1,0.0533,3.02e-06,0.18,0.0999,95.591,247187,4
Clara Mae,Call Your Girlfriend,Call Your Girlfriend,5hs8G87IGQq0Sz37oY9efX,0.637,0.0795,6,-13.437,1,0.0315,0.0,0.109,0.213,99.021,194810,4
Lorde,Melodrama,Green Light,6ie2Bw3xLj2JcGowOlcMhb,0.594,0.721,2,-7.812,1,0.0957,8.55e-06,0.0879,0.253,128.942,234653,4
Lennon Stella,Three. Two. One.,Older Than I Am,15VDHAMS4JCLziCjNkmQl1,0.44,0.306,9,-8.947,1,0.0363,0.0,0.103,0.201,117.288,181533,4
James Blake,Are You Even Real?,Are You Even Real?,2k0HXdTDW28JFAaS8TaHeA,0.289,0.619,0,-5.97,1,0.125,0.0298,0.397,0.197,72.139,231807,3
Nick Jonas,Right Now,Right Now,43wzy7JxMEfvCh8ZFeZKYk,0.597,0.751,6,-4.982,0,0.193,0.0,0.0912,0.568,103.956,201680,4
Taylor Swift,folklore,the last great american dynasty,2Eeur20xVqfUoM3Q7EFPFt,0.686,0.662,7,-8.505,1,0.0413,0.0023,0.109,0.706,147.922,230999,4
MØ,Final Song,Final Song,4qqArAiTPueDxIp7cf87h7,0.695,0.672,1,-6.109,0,0.0345,8.44e-05,0.0756,0.245,104.988,235827,4
Joji,Nectar,Pretty Boy (feat. Lil Yachty),0f1G5SHFoFC9lO03gHCGVS,0.656,0.776,6,-6.184,1,0.0672,0.378,0.372,0.638,156.049,156759,4
LÉON,LÉON,Baby Don't Talk,1Fxx8kShVR8ZwVhZ85zvyC,0.759,0.886,11,-4.008,1,0.0377,0.0,0.0939,0.786,119.975,186734,4
Allie X,Cape God,Love Me Wrong,6XmLlAoo6JgsIP7xhMoGTz,0.472,0.458,2,-7.912,1,0.0308,0.0,0.0925,0.105,97.167,192907,4
Halsey,Manic,Graveyard,2ufmtcIFdFpuUYBPXK5f67,0.667,0.583,11,-5.127,0,0.0747,4.48e-05,0.181,0.187,92.043,181806,4
Selena Gomez,Rare (Deluxe),Souvenir,3ZCBSFcZSRM9Z48ew28Zrf,0.841,0.479,0,-5.837,0,0.0376,1.16e-05,0.122,0.454,112.968,161606,4
SHAED,Trampoline (with ZAYN),Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,0.619,0.459,7,-5.782,0,0.0334,0.0,0.137,0.498,126.803,184280,4
Grimes,Miss Anthropocene (Deluxe Edition),Delete Forever,71J2rawCGulCAyTMtNY3Ej,0.56,0.736,8,-7.64,1,0.0339,0.0991,0.174,0.389,94.987,237481,4
Isak Danielson,Almost Heaven,Almost Heaven,0Jm9O0lnHS18WjHczHEzqQ,0.344,0.333,1,-6.984,0,0.0326,1.88e-06,0.111,0.121,108.356,227880,3
Charlotte Lawrence,God Must Be Doing Cocaine,God Must Be Doing Cocaine,4pBsg7FS4R99zk55McLRIy,0.315,0.359,7,-9.333,1,0.0318,4.76e-06,0.096,0.118,118.378,194756,3
LÉON,LÉON,You And I,4P1EGoXLWQ1YF6Nsmr1pfy,0.554,0.786,9,-4.288,1,0.0491,0.0,0.148,0.358,120.057,224064,4
Broods,Conscious,Recovery,5Tzum6abyRqlGk0dElTwoL,0.607,0.78,0,-5.331,1,0.0318,2.14e-05,0.0787,0.317,111.98,238267,4
Joji,Gimme Love (Channel Tres Remix),Gimme Love,7AoeZsOn7vyWUL6p8TEHf8,0.484,0.632,5,-6.917,1,0.0976,0.0243,0.209,0.0736,126.384,214558,3
WALK THE MOON,What If Nothing,Lost In The Wild,0M1A9wInEHilyWkh4I8tWo,0.483,0.77,6,-4.829,0,0.0512,0.0,0.182,0.386,132.992,235960,4
Felix Jaehn,I,Bonfire (feat. ALMA),4lGaOYqLKr5Z7bA1H92FBv,0.766,0.782,10,-3.92,1,0.105,3.69e-05,0.084,0.359,111.05,183000,4
Lorde,Pure Heroine (Extended),Team,15jRg8Ejs7X3JEHw38TSN3,0.69,0.578,6,-7.436,1,0.0929,0.0,0.305,0.416,99.961,193059,4
Clara Mae,Unmiss You (Stripped),Unmiss You - Stripped,4Q1JMNZQWxszVUqkwMIP6Y,0.671,0.221,7,-9.958,1,0.0377,0.0,0.0635,0.185,100.081,220991,4
MØ,Nights With You,Nights With You,5q5gzmbBS5yQzos2BvVr1t,0.763,0.671,1,-4.029,0,0.1,1.16e-05,0.375,0.602,120.06,197495,4
BANKS,The Altar,27 Hours,6ayaWMVlsyvtoO5CzafBiX,0.48,0.571,6,-6.678,0,0.0304,0.000245,0.224,0.257,75.931,190080,4
Taylor Swift,folklore,cardigan,4R2kfaDFhslZEMJqAFNpdd,0.613,0.581,0,-8.588,0,0.0424,0.000345,0.25,0.551,130.033,239560,4
Rory Adams,Stare,Stare,2FAlM9ao2yE3ujK64AsDN4,0.558,0.477,11,-8.576,1,0.0358,2.26e-06,0.0955,0.156,119.755,204750,4
Hailee Steinfeld,Half Written Story,I Love You's,60todhJq1ScRkVxFvXTuZF,0.681,0.783,8,-4.997,1,0.18,0.0,0.206,0.323,106.901,216084,4
MARINA,Love + Fear,To Be Human,75pQd26khpV9EMVBRIeDm6,0.671,0.446,6,-4.727,0,0.0241,0.0,0.0862,0.274,96.022,246059,4
Braids,Shadow Offering,Young Buck,6vOXqkbbgA5pfE95tpTkLC,0.423,0.571,1,-9.542,0,0.0309,0.295,0.149,0.462,112.015,233453,4
Taylor Swift,1989 (Deluxe),All You Had To Do Was Stay,6aLOekfwbytwWvQftxTEF0,0.605,0.725,5,-5.729,1,0.0323,2.02e-05,0.101,0.539,96.97,193293,4
Troye Sivan,Easy (with Kacey Musgraves feat. Mark Ronson),Easy (with Kacey Musgraves feat. Mark Ronson),4XWaUb7mKRcJR5RPp4IIDr,0.581,0.674,8,-7.09,1,0.033,3.01e-06,0.128,0.488,143.005,213572,4
ZAYN,Dusk Till Dawn (Radio Edit),Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,0.258,0.437,11,-6.593,0,0.039,1.27e-06,0.106,0.0967,180.043,239000,4
Gordi,Reservoir,Something Like This,7iPo9XtZD2eJ77IoqO2yIw,0.383,0.382,2,-9.831,1,0.0453,0.0,0.173,0.0755,80.195,300120,4
Kelly Clarkson,I Dare You (Multi-Language Duets),I Dare You,0o58NWBiVXewJNfNDKQyjw,0.655,0.719,2,-7.4,1,0.0368,1.77e-05,0.109,0.435,124.034,216107,4
Ane Brun,It All Starts With One (Deluxe Version),Worship,0lp49cliMy0b4BG1ACHoXy,0.522,0.309,10,-12.025,1,0.0296,0.00582,0.154,0.0401,99.96,360480,4
Susanne Sundfør,Music for People in Trouble,Undercover,4cgmk2owigBlmlV4KsqRNs,0.304,0.273,7,-8.991,0,0.0316,0.00128,0.141,0.188,133.737,257707,4
Hilde Selvikvåg,Fryd,Fryd,5y4rSHtVPenmBfvhWsCqUj,0.661,0.41,7,-6.6,1,0.0677,0.00691,0.146,0.161,76.019,201249,4
Marit Larsen,Joni Was Right Pt. II,Winter Never Lasts Forever,7yn5cV1eI61JfcB4JP77gj,0.297,0.255,10,-14.641,1,0.0368,0.0262,0.0863,0.192,143.484,226667,4
Hver gang vi møtes,Aslag Haugens Dag (Sesong 9),Den finast eg veit,1vOVx4zXZxaLxu6uAJmIRa,0.441,0.281,2,-10.398,1,0.0281,6.14e-06,0.107,0.125,82.527,181107,3
NorthKid,Done Fighting,Done Fighting,0LBBjxeI1FwBgpANKrgSVe,0.568,0.707,1,-5.106,1,0.0375,0.0,0.0999,0.495,150.11,179707,4
Marit Larsen,I Don't Want To Talk About It (Nelsaan & Matoma remix),I Don't Want to Talk About It - Nelsaan & Matoma Remix,1wSg5K255dGrZDuJC9AbDL,0.715,0.776,1,-2.576,1,0.0315,0.00595,0.0539,0.196,100.009,223200,4
Ane Brun,Leave Me Breathless,I Want To Know What Love Is,51HSsbQvuA6U9M1DwjcEnP,0.436,0.192,7,-10.518,0,0.0387,0.00263,0.137,0.134,79.44,248187,4
Maria Mena,They never leave their wives,You Live and You Learn,4p1Y9Hvs7uVZs6bBpuozH0,0.611,0.454,9,-10.045,1,0.0302,0.00072,0.0947,0.128,91.038,208333,4
SKAAR,The Other Side Of Waiting,24,1mCXSSgdM38IFKVkVWvZZg,0.593,0.663,5,-6.045,0,0.0377,6.93e-05,0.215,0.418,154.87,157394,4
HANA,HANADRIEL,Arcane Magic,5vYz1eWdRl4SPXyToMLHYq,0.598,0.654,9,-6.069,0,0.0939,0.0864,0.266,0.467,89.985,217000,4
Moddi,Unsongs,Army Dreamers,3mJaXxGno2arSpwGLjUcTk,0.568,0.368,1,-9.838,0,0.0275,0.000502,0.1,0.446,127.796,228699,3
Sivert Høyem,Lioness,Lioness,39QgZuryOgeMxnir2LpG5B,0.496,0.693,11,-6.075,1,0.0274,2.08e-05,0.156,0.336,138.554,275147,4
Frida Ånnevik,Andre sanger,Tenkt meg om,17BPSwC91ZC5r4lKZZkTjF,0.526,0.358,10,-11.196,0,0.0346,7.59e-06,0.294,0.186,106.816,205608,4
Susanne Sundfør,When The Lord,When The Lord,336Xz9M3DZUqpQnwQlGJMn,0.119,0.168,10,-14.783,1,0.0354,0.384,0.0941,0.119,200.256,261465,3
Ane Brun,Song For Thrill And Tom,Song For Thrill And Tom,1tGGow6HE0NwXm3DAiXznU,0.585,0.168,9,-11.744,0,0.0449,0.0513,0.0922,0.279,76.104,196037,4
Susanne Sundfør,Ten Love Songs,Slowly,3wiKWX6q2ZLJ9iWhblGfQa,0.496,0.705,6,-5.955,0,0.0277,0.0,0.111,0.267,105.009,267347,4
Various Artists,Reconnection,Brothers In Arms,75nw0hRM4Mm7YoSx1ppO8n,0.659,0.299,7,-11.549,0,0.0301,0.00579,0.0772,0.108,124.997,301080,3
Trygve Skaug,Bru over mørke bølger,Bru over mørke bølger,0BX8d3ykK2rTOI3W5ZMdaf,0.423,0.204,11,-13.321,1,0.0317,0.00444,0.112,0.15,146.221,299333,4
Marit Larsen,Joni Was Right Pt. II,Bluebelle Mountain,02nxCFRn4cmbfKQB4mUFP5,0.533,0.271,7,-11.126,1,0.0282,1.64e-05,0.257,0.283,138.115,200262,4
Bjørn Eidsvåg,Nåde,Floden,2ANRFrq2BjYJcZSnBMTXeM,0.566,0.641,9,-8.072,0,0.0311,0.00574,0.136,0.533,118.092,236253,4
Hver gang vi møtes,Odd Nordstogas Dag (Sesong 9),Farvel til deg,7yETSW86YRmIyughhnYntL,0.311,0.242,3,-9.884,1,0.0346,0.0,0.105,0.144,170.915,169013,3
Maria Mena,Mitt Lille Land,Mitt Lille Land,2619cBAW5d13Jakz4OA5P9,0.552,0.431,8,-10.441,1,0.0309,0.0745,0.102,0.0364,93.795,121853,4
Razika,Sånn Kjennes Verden Ut,En sjanse til,2MwDcVJh0VyydFLLeMlKRO,0.67,0.768,2,-6.515,1,0.0338,0.0961,0.322,0.89,138.934,165653,4
Ane Brun,Leave Me Breathless,Hero,7fRnXfN5RMznmFiCN14k8u,0.379,0.162,7,-13.018,1,0.0555,0.00156,0.106,0.128,78.24,249667,4
Åge Aleksandersen,Skin sola,Skin sola,4cbkobOIek5sB2avLJMukU,0.455,0.258,0,-12.0,1,0.0317,0.0016,0.0835,0.207,125.245,257825,4
First Aid Kit,Strange Beauty - Single,Strange Beauty,5ba5cqzloITZd3eqk5qHps,0.635,0.0504,5,-13.546,1,0.0377,7.15e-06,0.111,0.177,110.592,226000,4
Christel Alsos,The Losing Kind,The Losing Kind,6lzfP9RPagjdhOhyMGlxFi,0.604,0.752,8,-5.004,1,0.0445,0.0,0.158,0.327,98.01,191678,4
Susanne Sundfør,The Silicone Veil,When,6hUQIBCYqkY2L8TVe8MRmH,0.276,0.245,0,-11.522,1,0.0296,2.41e-06,0.0921,0.0399,95.501,245600,3
Marit Larsen,When The Morning Comes,Traveling Alone,5ffvyFXOkbzrRBCyeR5hI8,0.727,0.646,11,-4.808,0,0.0526,0.00293,0.0793,0.692,126.079,151880,4
Ane Brun,Leave Me Breathless,Make You Feel My Love,1BqUPu4AIJDJTox0gphQE6,0.41,0.137,1,-11.482,1,0.0464,0.00048,0.0989,0.374,186.154,167680,4
SKAAR,The Other Side Of Waiting,Five Times,0iPWNTO01motMDlotbh8CT,0.512,0.874,10,-5.245,0,0.115,0.000109,0.139,0.639,179.797,205213,4
Marit Larsen,Spark,Don't Move,1QeLBeyG5QBBwlx1L7QS58,0.546,0.64,0,-8.575,1,0.0419,6.97e-06,0.559,0.458,136.988,226560,4
Frida Ånnevik,Søtten år,Søtten år,4gYmhjHmokTmLfBO13wIg3,0.543,0.357,3,-8.92,1,0.0303,0.0,0.0974,0.286,121.563,285654,4
Susanne Sundfør,Ten Love Songs,Darlings,0WKvDtK0uHvoaxYgy0O75v,0.0825,0.144,2,-13.141,0,0.0385,0.00499,0.123,0.0373,75.103,159360,3
Moddi,Kæm va du?,Togsang,5qSJ6zAlnBXmIQc8vBE72R,0.416,0.392,4,-9.455,0,0.028,7.9e-06,0.114,0.612,107.109,179533,4
Great News,Wonderfault,Told,0d4sy4o7LzojFIpbhxQKdr,0.35,0.817,4,-8.083,0,0.0449,0.0275,0.328,0.486,154.995,234959,4
Thomas Dybdahl,FEVER,45,33tsDNAc6GeNXidKLCHhfz,0.75,0.612,4,-6.884,0,0.0411,7.39e-06,0.0817,0.797,98.993,183276,4
Maria Mena,They never leave their wives,You Broke Me,5bpT0Qnne7wMea5woXgU2y,0.687,0.391,7,-9.758,0,0.0504,0.0,0.114,0.153,119.999,209120,4
Ane Brun,Changing Of The Seasons,Big In Japan,7lhqX9jwTQchUhC5lEOnzK,0.378,0.166,2,-10.319,0,0.0442,0.000215,0.121,0.447,52.536,189853,4
Susanne Sundfør,Ten Love Songs,Accelerate,7112oRUBpmaNyNtMYCni05,0.533,0.868,10,-5.919,0,0.0514,0.478,0.105,0.391,99.99,326387,4
Frida Ånnevik,Flyge Fra,Ved Sida Av Deg,5kebMyBE7ZTMnHZh6RaoSm,0.408,0.435,3,-11.07,1,0.0377,0.000381,0.11,0.259,113.131,276333,4
Marit Larsen,Under The Surface,Under The Surface,7M0LlqPlNcEGwdwBcfC4rp,0.245,0.4,7,-6.832,1,0.0309,0.0,0.189,0.175,51.31,251611,4
Madrugada,"Half-Light (From the ""amundsen"" Original Motion Picture Soundtrack)",Half-Light,6Iuw68uxtiPVvvQ338a5W4,0.405,0.506,0,-10.68,1,0.0336,0.0577,0.116,0.172,101.939,319332,4
Susanne Sundfør,Ten Love Songs,Fade Away,0IWBaEf7GOwKPKHyC32E1z,0.575,0.796,11,-5.792,1,0.0303,0.207,0.14,0.638,99.982,198400,4
Thom Hell,The Love Is Gone,The Love Is Gone,4LPpLSxY5RtkgN1qncNLED,0.395,0.543,10,-7.635,1,0.0264,1.9e-05,0.354,0.251,148.937,294133,4
Ephemera,Air,Girls Keep Secrets in the Strangest Ways,3207sXkROOXU19Dop4E1zC,0.516,0.616,7,-9.266,0,0.0314,3.89e-05,0.0937,0.476,141.135,187272,4
Ane Brun,Closer,Closer,4IoGOVQofAK6Wfuh7KVHhO,0.339,0.176,7,-10.903,0,0.0403,0.0395,0.107,0.183,77.019,278093,4
Mugisho,One More Night,One More Night,29bqiKlfWh6M24T0zmc3wV,0.619,0.511,1,-7.433,1,0.0372,0.0,0.158,0.426,104.988,149069,4
Tomas Andersson Wij,Så Mycket Bättre 2017 - Tolkningarna,Märkt av dig,29ItZN4b6AgMZoGDIAcOgs,0.604,0.197,4,-10.972,1,0.0295,3.98e-05,0.159,0.221,66.999,254907,4
